Ticker,MarketCap
A,34920000000.0
AA,9010000000.0
AACB,251250000.0
AACG,26320000.0
AACT,698130000.0
AADI,51760000.0
AAL,7440000000.0
AAM,450290000.0
AAME,29780000.0
AAMI,940300000.0
AAOI,1040000000.0
AAON,6750000000.0
AAP,2260000000.0
AAPG,1660000000.0
AAPL,3214720000000.0
AARD,198020000.0
AAT,1570000000.0
AB,4160000000.0
ABAT,93120000.0
ABBV,378620000000.0
ABCB,3980000000.0
ABCL,756890000.0
ABEO,230400000.0
ABEV,37540000000.0
ABG,4610000000.0
ABL,713580000.0
ABLV,44970000.0
ABM,2970000000.0
ABNB,78870000000.0
ABOS,76900000.0
ABP,25060000.0
ABR,2520000000.0
ABSI,368690000.0
ABT,221370000000.0
ABTS,7850000.0
ABUS,621530000.0
ABVC,7970000.0
ABVE,12640000.0
ABVX,395810000.0
AC,744210000.0
ACA,3960000000.0
ACAD,2870000000.0
ACB,240090000.0
ACCD,573950000.0
ACCO,423070000.0
ACCS,35350000.0
ACDC,1130000000.0
ACEL,840210000.0
ACET,64250000.0
ACGL,35620000000.0
ACHC,2730000000.0
ACHL,59180000.0
ACHR,4510000000.0
ACHV,100930000.0
ACI,12710000000.0
ACIC,591530000.0
ACIU,218660000.0
ACIW,5610000000.0
ACLS,1870000000.0
ACLX,4000000000.0
ACM,12680000000.0
ACMR,1890000000.0
ACN,203730000000.0
ACNB,436470000.0
ACNT,130009999.99999999
ACOG,91150000.0
ACON,887880.0
ACR,166240000.0
ACRE,271880000.0
ACRS,170510000.0
ACRV,171250000.0
ACT,5080000000.0
ACTG,337130000.0
ACTU,144530000.0
ACU,151040000.0
ACVA,2480000000.0
ACXP,7990000.0
ADAG,80130000.0
ADAP,116860000.0
ADBE,173670000000.0
ADC,8289999999.999999
ADCT,173070000.0
ADD,2840000.0
ADEA,1490000000.0
ADGM,14540000.0
ADI,104990000000.0
ADIL,4800000.0
ADM,23020000000.0
ADMA,4420000000.0
ADN,12870000.0
ADNT,1180000000.0
ADP,120670000000.0
ADPT,1120000000.0
ADSE,754310000.0
ADSK,55510000000.0
ADT,6570000000.0
ADTN,733120000.0
ADTX,1380000.0
ADUR,171070000.0
ADUS,1670000000.0
ADV,507830000.0
ADVB,84180000.0
ADVM,98400000.0
ADXN,6180000.0
AEE,27190000000.0
AEG,10400000000.0
AEHL,4000000.0
AEHR,290280000.0
AEI,9450000.0
AEIS,4050000000.0
AEM,52870000000.0
AEMD,5440000.0
AENT,180900000.0
AEO,2320000000.0
AEON,810810.0
AEP,56320000000.0
AER,18490000000.0
AERT,28070000.0
AES,9290000000.0
AESI,2190000000.0
AEVA,150870000.0
AEYE,156400000.0
AFBI,114090000.0
AFCG,142350000.0
AFG,10630000000.0
AFJK,98830000.0
AFL,59250000000.0
AFMD,14740000.0
AFRI,230090000.0
AFRM,15350000000.0
AFYA,1620000000.0
AG,3430000000.0
AGAE,48080000.0
AGCO,7110000000.0
AGEN,45050000.0
AGFY,38300000.0
AGH,7790000.0
AGI,10860000000.0
AGIO,1830000000.0
AGL,1730000000.0
AGM,2120000000.0
AGM.A,2069999999.9999998
AGMH,2570000.0
